,20,25,30,40,50,60,70,80,90,100,110
1,0,0,1500,2000,2400,2900,3400,3900,4400,4800,5300
2,0,2400,2900,3900,4800,5800,6800,7700,8700,9600,10600
3,0,4800,5800,7700,9600,11600,12000,12000,12000,12000,12000
4,0,9600,11600,12000,12000,12000,12000,12000,12000,12000,12000
5,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
6,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
7,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
8,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
9,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
10,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
11,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
12,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
13,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
